wavelength_nm,percent_transmission
200,0.789605
201,0.791946
202,0.785442
203,0.779817
204,0.778443
205,0.777389
206,0.772415
207,0.769511
208,0.763223
209,0.762234
210,0.759227
211,0.75914
212,0.756621
213,0.756852
214,0.750571
215,0.748436
216,0.748324
217,0.749188
218,0.745452
219,0.743842
220,0.73837
221,0.737234
222,0.738024
223,0.738612
224,0.73502
225,0.735352
226,0.731217
227,0.732949
228,0.734367
229,0.735135
230,0.732664
231,0.730018
232,0.728956
233,0.7291
234,0.729139
235,0.730281
236,0.726562
237,0.725542
238,0.721624
239,0.723288
240,0.724325
241,0.724585
242,0.724928
243,0.728109
244,0.719432
245,0.720183
246,0.723596
247,0.725701
248,0.723951
249,0.724101
250,0.724205
251,0.725915
252,0.72678
253,0.727732
254,0.723606
255,0.72827
256,0.723204
257,0.7253
258,0.727844
259,0.729639
260,0.726162
261,0.728043
262,0.725289
263,0.727647
264,0.72661
265,0.729301
266,0.724473
267,0.72893
268,0.723968
269,0.722589
270,0.725003
271,0.726164
272,0.721701
273,0.725091
274,0.719124
275,0.72611
276,0.728069
277,0.729398
278,0.727953
279,0.726554
280,0.723799
281,0.727026
282,0.731401
283,0.731673
284,0.729432
285,0.732153
286,0.730148
287,0.730354
288,0.733141
289,0.736815
290,0.738217
291,0.737556
292,0.729037
293,0.729161
294,0.734426
295,0.735198
296,0.733806
297,0.740087
298,0.737441
299,0.746867
300,0.758992
301,0.776364
302,0.807658
303,0.868304
304,0.95165
305,1.090644
306,1.294547
307,1.583768
308,1.976674
309,2.507846
310,3.183359
311,4.022093
312,5.044829
313,6.241861
314,7.610028
315,9.208046
316,10.991031
317,12.973607
318,15.145825
319,17.354276
320,19.826672
321,22.412351
322,25.047642
323,27.677068
324,30.372086
325,33.120367
326,35.836159
327,38.63103
328,41.388574
329,44.040104
330,46.692684
331,49.209623
332,51.588695
333,53.910605
334,56.051623
335,58.16785
336,60.230954
337,62.192291
338,64.01764
339,65.807042
340,67.434736
341,68.943721
342,70.394606
343,71.721041
344,72.931328
345,74.137685
346,75.230229
347,76.235468
348,77.235381
349,78.110327
350,78.933685
351,79.743579
352,80.427777
353,81.054285
354,81.689524
355,82.24832
356,82.769317
357,83.310117
358,83.745956
359,84.128875
360,84.582825
361,84.928714
362,85.222121
363,85.559932
364,85.791028
365,86.007628
366,86.290926
367,86.485812
368,86.663003
369,86.835182
370,86.945166
371,87.009378
372,87.082775
373,87.131194
374,87.120014
375,87.137088
376,87.095551
377,87.069511
378,87.097363
379,87.174469
380,87.238077
381,87.321586
382,87.514245
383,87.653746
384,87.80449
385,88.02817
386,88.164573
387,88.273444
388,88.470218
389,88.606947
390,88.701325
391,88.845738
392,88.930926
393,88.983813
394,89.079076
395,89.136111
396,89.186605
397,89.28665
398,89.288534
399,89.285026
400,89.363772
401,89.380796
402,89.390844
403,89.444009
404,89.423542
405,89.393391
406,89.436276
407,89.430489
408,89.419271
409,89.456595
410,89.429142
411,89.399497
412,89.435219
413,89.416436
414,89.397732
415,89.433847
416,89.407785
417,89.387337
418,89.419703
419,89.415148
420,89.425448
421,89.442256
422,89.408496
423,89.40421
424,89.438114
425,89.42262
426,89.44649
427,89.495379
428,89.450563
429,89.426792
430,89.466873
431,89.440219
432,89.433631
433,89.475741
434,89.435111
435,89.400634
436,89.445628
437,89.429168
438,89.442879
439,89.486808
440,89.454446
441,89.429005
442,89.472768
443,89.454372
444,89.463522
445,89.523829
446,89.506346
447,89.488141
448,89.536304
449,89.544713
450,89.567323
451,89.627522
452,89.606726
453,89.597426
454,89.644396
455,89.645864
456,89.669097
457,89.73442
458,89.716705
459,89.705607
460,89.74418
461,89.733588
462,89.751743
463,89.808259
464,89.788253
465,89.785293
466,89.83528
467,89.821264
468,89.830834
469,89.882933
470,89.860536
471,89.846216
472,89.87187
473,89.855076
474,89.877979
475,89.92525
476,89.89611
477,89.889379
478,89.924463
479,89.916434
480,89.938762
481,89.987411
482,89.96224
483,89.950409
484,89.98778
485,89.967428
486,89.981312
487,90.020875
488,89.988286
489,89.991018
490,90.036376
491,90.021023
492,90.026912
493,90.057789
494,90.039571
495,90.044718
496,90.069119
497,90.065103
498,90.103267
499,90.140879
500,90.098317
501,90.09335
502,90.115804
503,90.103529
504,90.136367
505,90.163177
506,90.132867
507,90.142915
508,90.172143
509,90.1652
510,90.189029
511,90.210729
512,90.188895
513,90.211866
514,90.229836
515,90.197162
516,90.218186
517,90.244957
518,90.21578
519,90.226552
520,90.26081
521,90.241074
522,90.259715
523,90.276074
524,90.23328
525,90.244733
526,90.278933
527,90.254519
528,90.27306
529,90.29467
530,90.264393
531,90.272362
532,90.29617
533,90.276351
534,90.302831
535,90.324322
536,90.292711
537,90.313795
538,90.29417
539,90.284287
540,90.323921
541,90.345844
542,90.309817
543,90.293162
544,90.303242
545,90.294619
546,90.318792
547,90.338255
548,90.31388
549,90.330651
550,90.365684
551,90.339207
552,90.35527
553,90.382169
554,90.335022
555,90.35562
556,90.375968
557,90.338703
558,90.367826
559,90.371971
560,90.340042
561,90.367294
562,90.344523
563,90.357226
564,90.3712
565,90.34722
566,90.382948
567,90.410323
568,90.355254
569,90.372841
570,90.371432
571,90.35549
572,90.384541
573,90.405947
574,90.357683
575,90.375992
576,90.38805
577,90.36812
578,90.396212
579,90.404612
580,90.355751
581,90.370737
582,90.383407
583,90.369953
584,90.406285
585,90.382397
586,90.334871
587,90.367501
588,90.380964
589,90.344328
590,90.394861
591,90.398745
592,90.328888
593,90.353811
594,90.380156
595,90.343558
596,90.371918
597,90.375278
598,90.331725
599,90.33233
600,90.369803
601,90.338373
602,90.382692
603,90.390896
604,90.325769
605,90.342432
606,90.36177
607,90.324722
608,90.373744
609,90.378942
610,90.317131
611,90.334506
612,90.343986
613,90.31364
614,90.359611
615,90.3643
616,90.305643
617,90.32241
618,90.335214
619,90.302427
620,90.355243
621,90.352911
622,90.283747
623,90.311147
624,90.310866
625,90.30804
626,90.350207
627,90.31915
628,90.265447
629,90.302533
630,90.313528
631,90.292462
632,90.334612
633,90.314828
634,90.256874
635,90.306466
636,90.297666
637,90.260612
638,90.322919
639,90.311127
640,90.255147
641,90.292678
642,90.322825
643,90.302767
644,90.315145
645,90.304221
646,90.267813
647,90.311263
648,90.316388
649,90.252057
650,90.326604
651,90.309966
652,90.271512
653,90.309892
654,90.325641
655,90.270689
656,90.339737
657,90.321704
658,90.277791
659,90.308694
660,90.346274
661,90.30634
662,90.366735
663,90.376526
664,90.32158
665,90.375659
666,90.380015
667,90.348736
668,90.403965
669,90.402765
670,90.329235
671,90.398895
672,90.406768
673,90.374921
674,90.427077
675,90.449043
676,90.38175
677,90.437546
678,90.46735
679,90.413514
680,90.487475
681,90.444296
682,90.404381
683,90.457557
684,90.465236
685,90.419883
686,90.492506
687,90.466686
688,90.418999
689,90.491457
690,90.496829
691,90.482351
692,90.516143
693,90.512598
694,90.447067
695,90.503618
696,90.49099
697,90.473723
698,90.528901
699,90.530792
700,90.468509
701,90.525341
702,90.512308
703,90.463963
704,90.523023
705,90.561194
706,90.470591
707,90.534242
708,90.546862
709,90.505122
710,90.544636
711,90.553117
712,90.486715
713,90.527029
714,90.52487
715,90.523857
716,90.582113
717,90.564756
718,90.491964
719,90.549368
720,90.539198
721,90.507958
722,90.564172
723,90.564073
724,90.513376
725,90.531395
726,90.543998
727,90.533234
728,90.578373
729,90.574791
730,90.51542
731,90.542309
732,90.550741
733,90.541401
734,90.555923
735,90.549129
736,90.506149
737,90.556574
738,90.550297
739,90.542088
740,90.590263
741,90.585621
742,90.534127
743,90.590314
744,90.558427
745,90.552796
746,90.599391
747,90.589437
748,90.534574
749,90.581723
750,90.564243
751,90.542619
752,90.579297
753,90.581693
754,90.531016
755,90.584736
756,90.556783
757,90.53092
758,90.574964
759,90.587689
760,90.545353
761,90.569877
762,90.563996
763,90.538316
764,90.588752
765,90.574947
766,90.510672
767,90.562879
768,90.536083
769,90.538189
770,90.586838
771,90.577107
772,90.534669
773,90.554117
774,90.560828
775,90.5512
776,90.608946
777,90.570097
778,90.533375
779,90.547152
780,90.530568
781,90.524817
782,90.56036
783,90.550951
784,90.527553
785,90.553682
786,90.555575
787,90.567959
788,90.561731
789,90.536275
790,90.502964
791,90.539544
792,90.509348
