wavelength_nm,grating_efficiency_nu
295,22.9
296,23.4
297,23.9
298,24.5
299,25
300,25.5
301,26
302,26.6
303,27.1
304,27.6
305,28.2
306,28.7
307,29.2
308,29.7
309,30.3
310,30.8
311,31.3
312,31.9
313,32.4
314,32.9
315,33.4
316,34
317,34.5
318,35
319,35.6
320,36.1
321,36.6
322,37.1
323,37.7
324,38.2
325,38.7
326,39.3
327,39.8
328,40.3
329,40.8
330,41.4
331,41.9
332,42.4
333,42.9
334,43.5
335,44
336,44.5
337,45.1
338,45.6
339,46.1
340,46.4
341,46.8
342,47.2
343,47.5
344,47.9
345,48.3
346,48.6
347,49
348,49.4
349,49.7
350,50.1
351,50.5
352,50.8
353,51.2
354,51.6
355,51.9
356,52.3
357,52.7
358,53
359,53.4
360,53.8
361,54.1
362,54.5
363,54.9
364,55.2
365,55.6
366,56
367,56.3
368,56.7
369,57.1
370,57.4
371,57.8
372,58.2
373,58.5
374,58.9
375,59.3
376,59.6
377,60
378,60.4
379,60.7
380,61.1
381,61.4
382,61.7
383,62
384,62.3
385,62.6
386,63
387,63.3
388,63.6
389,63.9
390,64.2
391,64.5
392,64.8
393,65.2
394,65.5
395,65.8
396,66.1
397,66.4
398,66.7
399,67.1
400,67.4
401,67.7
402,68
403,68.3
404,68.6
405,69
406,69.3
407,69.6
408,69.9
409,70.2
410,70.5
411,70.9
412,71.2
413,71.5
414,71.8
415,72.1
416,72.4
417,72.6
418,72.9
419,73.2
420,73.4
421,73.7
422,74
423,74.2
424,74.5
425,74.7
426,75
427,75.3
428,75.5
429,75.8
430,76.1
431,76.3
432,76.6
433,76.8
434,77.1
435,77.4
436,77.6
437,77.9
438,78.2
439,78.4
440,78.7
441,78.9
442,79.2
443,79.5
444,79.7
445,80
446,80.3
447,80.5
448,80.8
449,81.1
450,81.3
451,81.5
452,81.6
453,81.7
454,81.8
455,81.9
456,82
457,82.1
458,82.2
459,82.3
460,82.4
461,82.5
462,82.6
463,82.7
464,82.8
465,82.9
466,83
467,83.1
468,83.2
469,83.3
470,83.4
471,83.5
472,83.6
473,83.7
474,83.8
475,83.9
476,84
477,84.1
478,84.2
479,84.1
480,84.1
481,84.1
482,84
